x,y,z,nx,ny,nz,label
-2.0722,-0.8891,0.6603,-0.651641,0.133394,0.7467060000000001,4
-2.0685,-0.8891,0.6632,-0.754722,0.145504,0.639705,4
-2.0685,-0.88,0.6603,-0.58519,0.411254,0.698873,4
-2.0724,-0.9097,0.6603,-0.766237,-0.17215,0.6190680000000001,4
-2.0685,-0.9097,0.6661,-0.8567600000000001,-0.129938,0.49907799999999997,4
-2.0539,-0.8891,0.681,-0.799207,0.369707,0.47390299999999996,4
-2.0478,-0.8891,0.7016,-0.817457,0.553362,0.159855,4
-2.0478,-0.8821,0.681,-0.534413,0.767595,0.353837,4
-2.0271,-0.873,0.7017,-0.42878,0.863266,0.266308,0
-2.0271,-0.8724,0.681,-0.192642,0.9702729999999999,0.146488,0
-2.0478,-0.8891,0.7017,-0.763628,0.47984099999999996,0.432001,4
-2.0614,-0.9097,0.681,-0.886542,-0.0016719999999999999,0.46264399999999994,4
-2.0523,-0.9097,0.7017,-0.889651,-0.020978999999999998,0.45616,4
-2.0478,-0.8705,0.6603,-0.18395699999999998,0.855332,0.484321,0
-2.0271,-0.8703,0.6603,0.015600999999999999,0.9863790000000001,0.163748,0
-1.3708,-0.8891,1.0121,-0.909833,-0.052307000000000006,0.41166499999999995,4
-1.365,-0.8891,1.0181,-0.639733,0.032064999999999996,0.7679279999999999,4
-1.365,-0.8777,1.0121,-0.55456,0.708701,0.436125,4
-1.365,-0.9084,1.0121,-0.712861,-0.39587,0.578892,4
-1.3768,-0.8891,0.9914,-0.9688530000000001,0.182885,0.166962,4
-1.365,-0.8694,0.9914,-0.575013,0.7990010000000001,0.175947,4
-1.3704,-0.9097,0.9914,-0.905136,-0.36886399999999997,0.211348,4
-1.365,-0.9097,1.0097,-0.822817,-0.48595,0.294659,4
-1.365,-0.9193,0.9914,-0.8297950000000001,-0.50472,0.23811300000000002,4
-1.365,-0.8684,0.9707,-0.336175,0.931797,0.136899,0
-1.365,-0.8684,0.9709,-0.541894,0.8397309999999999,0.034663,4
-1.3824,-0.8684,0.95,-0.368552,0.837832,0.40274899999999997,0
-1.365,-0.8654,0.95,0.074646,0.997167,0.009261,0
-1.4064,-0.8621,0.9293,-0.014422999999999998,0.861139,0.508166,0
-1.4064,-0.8684,0.9361,-0.201249,0.597897,0.775898,0
-1.3857,-0.8614,0.9293,0.085939,0.9305469999999999,0.35594499999999996,0
-1.3857,-0.8684,0.9471,-0.304275,0.863559,0.402098,0
-1.365,-0.8656,0.9293,0.20901599999999998,0.973982,0.087585,0
-1.4064,-0.8524,0.9086,0.045888,0.949475,0.31046999999999997,0
-1.3857,-0.8551,0.9086,0.20064200000000001,0.931212,0.30428099999999997,0
-1.365,-0.8635,0.9086,0.41382299999999994,0.883164,0.22084299999999998,0
-1.4064,-0.8479,0.8879,0.017651,0.989684,0.142174,0
-1.3857,-0.8498,0.8879,0.151942,0.969793,0.190829,0
-1.365,-0.8556,0.8879,0.333204,0.872554,0.357246,0
-1.4064,-0.8458,0.8672,-0.022924,0.995238,0.094738,0
-1.4064,-0.8477,0.8851,0.021251,0.9938549999999999,0.10862999999999999,0
-1.3857,-0.8477,0.877,0.107299,0.974086,0.19910799999999998,0
-1.3857,-0.8459,0.8672,0.045932,0.98919,0.139263,0
-1.3653,-0.8477,0.8672,0.068827,0.967599,0.242931,0
0.3056,-1.0338,-0.1053,-0.727634,-0.146493,-0.670141,3
0.2902,-1.0338,-0.0892,-0.723442,-0.11773099999999999,-0.6802729999999999,3
0.2902,-1.0131,-0.0889,-0.8150470000000001,0.06391799999999999,-0.575859,3
0.3059,-1.0131,-0.1053,-0.763005,0.107448,-0.6373989999999999,3
0.3107,-0.9924,-0.1053,-0.763885,0.248273,-0.595684,3
0.3109,-0.9924,-0.1056,-0.8277979999999999,0.203074,-0.522984,3
0.3109,-1.0131,-0.1119,-0.831169,0.076774,-0.5506939999999999,3
-1.365,-0.8477,0.8672,0.08831,0.958599,0.270721,0
0.3198,-1.0131,-0.1259,-0.8499610000000001,-0.077267,-0.521149,3
0.3219,-0.9924,-0.1259,-0.844825,0.293171,-0.44757299999999994,3
-1.5118,-0.8891,0.9914,0.558582,0.066198,0.8268030000000001,0
-1.5099,-0.8891,0.9888,0.717647,0.0799,0.691808,0
-1.5246,-0.8684,0.9914,0.548744,0.529802,0.646676,0
-1.5099,-0.8684,0.9767,0.536011,0.622482,0.5702699999999999,0
0.3109,-1.0338,-0.1114,-0.770183,-0.15318800000000002,-0.619154,3
-1.5031,-0.8684,0.9707,0.5175810000000001,0.560128,0.646813,0
-1.4902,-0.8891,0.9707,0.587341,0.063106,0.806875,0
0.3234,-1.0338,-0.1259,-0.7577659999999999,-0.26702800000000004,-0.595388,3
-1.5191,-0.9097,0.9914,0.6421789999999999,-0.252971,0.723611,4
-1.5099,-0.9097,0.9814,0.656246,-0.353213,0.666769,4
0.3314,-0.9924,-0.1466,-0.8857659999999999,0.194786,-0.421281,3
0.3316,-0.992,-0.1466,-0.810824,0.44733100000000003,-0.377438,3
0.3316,-0.9764,-0.1259,-0.7167100000000001,0.595567,-0.36280500000000004,3
